Uid,Sid,Tag,Key,Time,Value,UpdateTime
8278074507,2016481816,daily_report,stress,1767052800,"{""avg_stress"":20,""min_stress"":7,""max_stress"":44,""stress_scale"":{""relax"":148,""mild"":42,""moderate"":0,""severe"":0}}",1767378973
8278074507,2016481816,daily_report,stress,1767139200,"{""avg_stress"":22,""max_stress"":45,""min_stress"":7,""stress_scale"":{""severe"":0,""mild"":66,""relax"":142,""moderate"":0}}",1767378973
8278074507,2016481816,daily_report,stress,1767225600,"{""stress_scale"":{""relax"":111,""mild"":31,""moderate"":0,""severe"":0},""max_stress"":42,""min_stress"":9,""avg_stress"":20}",1767378973
8278074507,2016481816,daily_report,stress,1767312000,"{""stress_scale"":{""relax"":103,""severe"":0,""moderate"":0,""mild"":40},""max_stress"":43,""avg_stress"":22,""min_stress"":11}",1767429847
8278074507,2016481816,daily_report,stress,1767398400,"{""stress_scale"":{""severe"":0,""mild"":40,""moderate"":0,""relax"":76},""max_stress"":38,""avg_stress"":22,""min_stress"":10}",1767489197
8278074507,2016481816,daily_report,stress,1767484800,"{""max_stress"":39,""stress_scale"":{""moderate"":0,""mild"":38,""relax"":81,""severe"":0},""avg_stress"":22,""min_stress"":12}",1767546745
8278074507,895438322,daily_report,stress,1736812800,"{""min_stress"":31,""max_stress"":42,""stress_scale"":{""severe"":0,""mild"":16,""moderate"":0,""relax"":0},""avg_stress"":35}",1736932808
8278074507,895438322,daily_report,stress,1736899200,"{""max_stress"":37,""stress_scale"":{""relax"":81,""severe"":0,""mild"":15,""moderate"":0},""min_stress"":7,""avg_stress"":19}",1737032483
8278074507,895438322,daily_report,stress,1736985600,"{""avg_stress"":20,""min_stress"":11,""stress_scale"":{""moderate"":0,""mild"":25,""relax"":91,""severe"":0},""max_stress"":43}",1737032483
8278074507,895438322,daily_report,stress,1737072000,"{""min_stress"":6,""max_stress"":37,""avg_stress"":18,""stress_scale"":{""severe"":0,""mild"":12,""relax"":89,""moderate"":0}}",1737279494
8278074507,895438322,daily_report,stress,1737158400,"{""avg_stress"":17,""min_stress"":11,""max_stress"":37,""stress_scale"":{""severe"":0,""relax"":92,""mild"":2,""moderate"":0}}",1737279494
8278074507,895438322,daily_report,stress,1737244800,"{""min_stress"":12,""max_stress"":37,""avg_stress"":18,""stress_scale"":{""mild"":5,""severe"":0,""relax"":69,""moderate"":0}}",1737279494
8278074507,895438322,daily_report,stress,1737331200,"{""avg_stress"":20,""max_stress"":43,""min_stress"":12,""stress_scale"":{""relax"":94,""moderate"":0,""severe"":0,""mild"":22}}",1737533472
8278074507,895438322,daily_report,stress,1737417600,"{""min_stress"":12,""stress_scale"":{""severe"":0,""relax"":87,""moderate"":0,""mild"":9},""max_stress"":37,""avg_stress"":18}",1737533472
8278074507,895438322,daily_report,stress,1737504000,"{""max_stress"":19,""avg_stress"":17,""min_stress"":14,""stress_scale"":{""severe"":0,""mild"":0,""relax"":79,""moderate"":0}}",1737533472
